"4 -gram","frequency"
"a s t e",0.0297029702970297
"c h e e",0.0297029702970297
"h e e r",0.0297029702970297
"m a s t",0.0297029702970297
"r e l y",0.0297029702970297
"s t e r",0.0297029702970297
"y a r e",0.0297029702970297
"a r t s",0.0198019801980198
"b e s t",0.0198019801980198
"b o t e",0.0198019801980198
"e a r t",0.0198019801980198
"e e r e",0.0198019801980198
"e r e l",0.0198019801980198
"e s t i",0.0198019801980198
"g o o d",0.0198019801980198
"h e a r",0.0198019801980198
"h e r e",0.0198019801980198
"i r r e",0.0198019801980198
"s t i r",0.0198019801980198
"s w a i",0.0198019801980198
"t i r r",0.0198019801980198
"w a i n",0.0198019801980198
"a i n e",0.0099009900990099
"a r e l",0.0099009900990099
"a r i n",0.0099009900990099
"b e l o",0.0099009900990099
"b l o w",0.0099009900990099
"b u r s",0.0099009900990099
"c a r e",0.0099009900990099
"e i g h",0.0099009900990099
"e l o w",0.0099009900990099
"e l v e",0.0099009900990099
"e n o u",0.0099009900990099
"e s w a",0.0099009900990099
"f a l l",0.0099009900990099
"g r o u",0.0099009900990099
"h a v e",0.0099009900990099
"h e i g",0.0099009900990099
"h i s t",0.0099009900990099
"i n e r",0.0099009900990099
"i s t l",0.0099009900990099
"k e e p",0.0099009900990099
"l v e s",0.0099009900990099
"m a r i",0.0099009900990099
"n e r s",0.0099009900990099
"n o u g",0.0099009900990099
"o p p e",0.0099009900990099
"o t e s",0.0099009900990099
"o u g h",0.0099009900990099
"o u n d",0.0099009900990099
"p e a k",0.0099009900990099
"p l a y",0.0099009900990099
"p r a y",0.0099009900990099
"r i n e",0.0099009900990099
"r o o m",0.0099009900990099
"r o u n",0.0099009900990099
"s a l e",0.0099009900990099
"s e l v",0.0099009900990099
"s p e a",0.0099009900990099
"s t l e",0.0099009900990099
"t a k e",0.0099009900990099
"t e n d",0.0099009900990099
"t e r s",0.0099009900990099
"t e s w",0.0099009900990099
"t h o u",0.0099009900990099
"t i l l",0.0099009900990099
"t o p p",0.0099009900990099
"u r s t",0.0099009900990099
"w h a t",0.0099009900990099
"w h e r",0.0099009900990099
"w h i s",0.0099009900990099
"w i n d",0.0099009900990099
