"features"	"1_Henry_IV"	"2_Henry_IV"	"2_Henry_VI"	"3_Henry_VI"	"A_Midsummer_Night's_Dream"	"All's_Well_That_Ends_Well"	"Antony_and_Cleopatra"	"As_You_Like_It"	"Coriolanus"	"Cymbeline"	"Hamlet"	"Henry_V"	"Julius_Caesar"	"King_John"	"King_Lear"	"Love's_Labours_Lost"	"Much_Ado_About_Nothing"	"Othello"	"Richard_II"	"Richard_III"	"Romeo_and_Juliet"	"The_Comedy_of_Errors"	"The_Merchant_of_Venice"	"The_Merry_Wives_of_Windsor"	"The_Taming_of_the_Shrew"	"The_Tempest"	"The_Two_Gentlemen_of_Verona"	"The_Winter's_Tale"	"Troilus_and_Cressida"	"Twelfth_Night"
"the"	3.37106299212598	3.64284607037669	3.58620135737521	3.22743530401851	3.35236691840118	2.93033941653301	3.38795575583777	3.07578626518265	3.76872400721357	3.34834398605462	3.61526288025321	3.97648686030429	2.90004113533525	3.34073573428599	3.39519190215099	3.82900849326639	2.6973026973027	2.7739984882842	3.1421079265768	3.22704840572609	2.69336732595913	2.88973903538735	3.83273618706393	2.66229871268398	2.37432847275518	2.91220817120623	2.2161786830228	3.27817054386034	3.11267659558176	2.65126788852624
"and"	3.43667979002625	3.24368314989924	3.52596281273844	3.66084578161161	3.31552772149567	2.56621440027743	2.45391233101188	3.02036669283702	2.50266828604026	2.37870424171993	2.95058906277475	3.76901798063624	3.05429864253394	3.3021145119243	2.54744833403627	2.63713575148984	2.84001712573141	2.8193499622071	3.12370612320007	3.04504567568514	2.78794358320655	2.97854898210138	2.73430133886479	2.60231624602039	3.45836531082118	2.8818093385214	2.34926513135054	2.49219953394684	2.86764424365404	2.51569168968114
"i"	2.93635170603675	2.53836614478375	2.4256053973736	2.52472122869766	2.89801682323325	3.28145996792232	2.42113887750922	3.36212072230176	2.21559751205329	2.83265543288786	2.15579391594865	1.82879975411096	2.7972027972028	2.06623539635029	2.85533530156052	2.50574820515227	3.38233195376052	3.45049130763416	2.1852141509868	2.68454026810402	2.75915950491385	3.50457712802295	3.35187629643598	4.11572002030176	3.41039907904835	3.11284046692607	3.72642055317672	2.82791579446266	2.37757953979861	3.40446899322119
"to"	1.96030183727034	2.15858006510619	2.32922372595478	2.43214811697875	2.06913489285934	2.29312063808574	2.23269151986891	2.11518034452501	2.55787420411468	2.32786170830912	2.44768770880957	2.07853081297065	2.28301110654052	2.43796466158154	2.06242091944327	2.19135657641594	2.15974501688787	2.26001511715797	2.5302479643005	2.63903958559378	2.2657181627534	2.35687935510316	2.20158400905148	1.9425091127209	2.46546431312356	1.85432879377432	2.53442888554565	2.47640112168727	2.19380527585283	1.98342957569671
"of"	2.55905511811024	2.26321500542552	2.12441267418979	1.67893961708395	1.62092466384233	1.9550045515627	1.85989348627612	1.94892162748811	1.74818740568989	2.0082800697269	2.13117636715316	2.65099124020286	1.8048128342246	2.65038138457082	1.85997469422185	2.04589179297077	1.71733028875886	1.68934240362812	2.31402677462391	2.14553218298274	1.55022821662075	1.46877988796284	2.0837261927211	1.8917547178517	1.17517267843438	1.89688715953307	1.30771901400301	1.95110391405664	1.91431524943528	2.1491338187296
"you"	1.29593175853018	1.94543481630755	0.799164692181037	0.833158005470229	1.68232332535151	2.10238848671377	1.50757886112249	2.42922458781693	2.37753487173825	1.55432887855898	1.86390012308774	1.42154602735516	2.02591526120938	1.11518779569373	1.79249261914804	1.63765191685045	2.35954521668807	1.85185185185185	0.75907438929015	1.3720205803087	1.21715531066245	2.09044951496106	2.08844050537432	2.5515618511512	2.46066768994628	1.3193093385214	1.90371484781854	1.85236383743434	1.71139783299514	2.26462465478283
"a"	2.26788057742782	1.91055650286777	1.43769326533071	1.16557963391542	1.60864493154049	2.02436169751615	1.24948791478902	2.07823396296125	1.5420853115454	1.59064497385241	1.73729558642518	1.69432918395574	1.32147264500206	1.62209133919089	1.48460565162379	2.32743653512271	2.27867370724514	1.61753590325019	1.23752127708515	1.26351895278429	1.91619721205642	1.67372591884137	2.02715444088252	2.18705301527246	2.03856485034536	1.8056906614786	1.84585117463257	1.65883328725463	1.79562770397029	2.04368566407231
"my"	1.40666010498688	1.5307704231902	1.77101321232079	1.84725436566379	1.25253269478725	1.70358489748147	1.36419500204834	1.23308548469034	0.990026130801222	1.47806507844277	1.75839634253561	1.11418472414323	1.07466063348416	1.4096746162016	1.89793336145086	1.14494861808456	1.41762998905856	1.69312169312169	2.23581911027281	2.18403276049141	1.53789218306674	1.87867194971991	1.79615312087498	1.47187745120657	1.626055257099	1.81785019455253	1.74748293021641	1.64698447805995	1.21750449864084	1.79763996987196
"is"	1.17700131233596	1.4222601147109	1.36139110879081	1.14033242162845	1.27709215939093	1.83796436776627	1.7451863990168	1.61640419341431	1.38750874093703	1.61243463102847	1.65289256198347	1.6366989396035	1.55800082270671	1.12001544848894	1.46351750316322	1.66580639106565	1.80771609343038	1.9047619047619	1.32953029396881	1.14451716775752	1.83806899954768	1.37313840688619	1.48029417310956	2.03017579476768	1.80353031465848	1.4591439688716	1.80534660340238	1.4771515462696	1.89517209694092	1.83278935475772
"that"	1.0867782152231	1.14710897535266	1.18067547488053	1.4012202819272	1.1297353717689	1.48250899475487	1.24539123310119	1.6025493003279	1.24029295940525	1.37274840209181	1.32934763495692	1.24865529429845	1.48601398601399	1.48208940812977	1.38760016870519	1.37956923654451	1.41287284144427	1.48904006046863	1.3065280397479	1.51202268034021	1.45153994818866	1.52343216286378	1.23986422779559	0.987403682000646	1.16078280890253	1.25243190661479	1.7590556648536	1.3310162328686	1.25961943412841	1.44112478031634
