TCP,estc,Wiggins number,author,author 2,author 3,author 4,author 5,translator,adaptation,missing or excluded from TCP,title,alternative title,type,genre,Wiggins genre,DEEP genre,Harbage genre,Wiggins contemporary genre,date of writing,decade,date of 1st performance,Harbage limits of performance date,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes,text_name,status
A00456,S104446,432,"Bower, Richard",,,,,,,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,drama,TC,TR,Classical Moral,,TR; 'tragical comedy',1559,1550,1564,,1575,1575,,,,yes,yes,,A00456.headed.txt,Restricted
A00723,S105484,,"Field, Nathan",,,,,,,no,Amends for Ladies,,drama,CO,,CO,,,1610,1610,1611,,1618,1618,Children of the Queen's Revels,Lady Elizabeth's Men; Prince Charles's Men (first),,,,,A00723.headed.txt,Free
A00725,S102043,,"Field, Nathan",,,,,,,no,A Woman Is a Weathercock,,drama,CO,,CO,,,1609,1600,1609,,1612,1612,Children of the Queen's Revels,,,,,,A00725.headed.txt,Free
A00760,S102088,,"Fisher, Jasper",,,,,,,no,Fuimus Troes,The True Trojans,drama,HI,,HI,,,1611,1610,1625,,1633,1633,,,,,,,A00760.headed.txt,Free
A00958,S102322,,"Fletcher, John","Massinger, Philip","Chapman, George (?)","Field, Nathan (?)","Jonson, Ben (?)",,,no,The Bloody Brother,"Rollo, Duke of Normandy",drama,TR,,TR,,,1617,1610,1617,,1639,1639,King's Men,,,,,,A00958.headed.txt,Free
A00960,S102356,,"Fletcher, John","Massinger, Philip",,,,,,no,The Elder Brother,,drama,CO,,CO,,,1625,1620,1625,,1637,1637,King's Men,,,,,,A00960.headed.txt,Free
A00962,S105619,,"Fletcher, John",,,,,,,no,The Faithful Shepherdess,,drama,TC,,Pastoral,,,1608,1600,1608,,1610,1610,Children of the Queen's Revels,,,,,,A00962.headed.txt,Free
A00966,S102369,,"Fletcher, John","Shirley, James",,,,,,no,"The Night Walker, or The Little Thief",,drama,CO,,CO,,,1611,1610,1611,,1640,1640,Lady Elizabeth's Men,Queen Henrietta Maria's Men,,,,,A00966.headed.txt,Free
A00967,S102374,,"Fletcher, John",,,,,,,no,Rule a Wife and Have a Wife,,drama,CO,,CO,,,1624,1620,1624,,1640,1640,King's Men,,,,,,A00967.headed.txt,Free
A00968,S102375,,"Beaumont, Francis","Fletcher, John","Massinger, Philip",,,,,no,Thierry and Theodoret,,drama,TR,,TR,,,1617,1610,1617,,1621,1621,King's Men,,,,,,A00968.headed.txt,Free
