author,author 2,author 3,title,genre,date of writing,metre,rhyme,text_name
"Beaumont, Francis","Fletcher, John","Massinger, Philip",Thierry and Theodoret,TR,1617,,,A00968.headed.txt
"Beaumont, Francis","Fletcher, John","Massinger, Philip",Beggars' Bush,CO,1615,,,A27177.headed_171_play_007.txt
"Beaumont, Francis","Fletcher, John","Massinger, Philip","Love's Cure, or The Martial Maid",CO,1606,,,A27177.headed_589_play_025.txt
"Beaumont, Francis","Fletcher, John",,Cupid's Revenge,TR,1607,,,A06177.headed.txt
"Beaumont, Francis","Fletcher, John",,A King and No King,TC,1611,,,A06207.headed.txt
"Beaumont, Francis","Fletcher, John",,The Maid's Tragedy,TR,1610,,,A06289.headed.txt
"Beaumont, Francis","Fletcher, John",,Philaster,TC,1609,,,A06343.headed.txt
"Beaumont, Francis","Fletcher, John",,The Scornful Lady,CO,1610,,,A06389.headed.txt
"Beaumont, Francis","Fletcher, John",,The Woman Hater,CO,1606,,,A06458.headed.txt
"Beaumont, Francis","Fletcher, John",,The Coxcomb,CO,1608,,,A27177.headed_197_play_008.txt
"Beaumont, Francis","Fletcher, John",,Love's Pilgrimage,TC,1616,,,A27177.headed_757_play_033.txt
"Beaumont, Francis",,,The Knight of the Burning Pestle,CO,1607,,,A06252.headed.txt
"Brome, Richard",,,The Antipodes,CO,1640,,,A16923.headed.txt
"Brome, Richard",,,The Northern Lass,CO,1629,,,A16924.headed.txt
"Brome, Richard",,,The Sparagus Garden,CO,1635,,,A16927.headed.txt
"Brome, Richard",,,"A Jovial Crew, or The Merry Beggars",CO,1641,,,A29637.headed.txt
"Brome, Richard",,,The Queen's Exchange,CO,1629,,,A29644.headed.txt
"Brome, Richard",,,A Mad Couple Well Matched,CO,1632,,,A77565.headed_collection_001.txt
"Brome, Richard",,,The Novella,CO,1632,,,A77565.headed_collection_002.txt
"Brome, Richard",,,The Court Beggar,CO,1639,,,A77565.headed_collection_003.txt
"Brome, Richard",,,"The City Wit, or The Woman Wears the Breeches",CO,1630,,,A77565.headed_collection_004.txt
"Brome, Richard",,,"The Damoiselle, or The New Ordinary",CO,1637,,,A77565.headed_collection_005.txt
"Brome, Richard",,,"The English Moor, or The Mock Marriage",CO,1632,,,A77567.headed_collection_001.txt
"Brome, Richard",,,"The Lovesick Court, or The Ambitious Politic",TC,1635,,,A77567.headed_collection_002.txt
"Brome, Richard",,,"The Weeding of the Covent Garden, or The Middlesex Justice of Peace",CO,1632,,,A77567.headed_collection_003.txt
"Brome, Richard",,,"The New Academy, or The New Exchange",CO,1635,,,A77567.headed_collection_004.txt
"Brome, Richard",,,The Queen and Concubine,TC,1635,,,A77567.headed_collection_005.txt
"Cavendish, Margaret",,,The Several Wits,CO,1662,,,A53060.headed_106_play_003.txt
"Cavendish, Margaret",,,The Unnatural Tragedy,TR,1662,,,A53060.headed_365_play_010.txt
"Cavendish, Margaret",,,1 Matrimonial Trouble,CO,1662,,,A53060.headed_479_play_012.txt
"Cavendish, Margaret",,,2 Matrimonial Trouble,TC,1662,,,A53060.headed_530_play_013.txt
"Cavendish, Margaret",,,The Comical Hash,CO,1662,,,A53060.headed_681_play_017.txt
"Cavendish, Margaret",,,The Apocryphal Ladies,CO,1662,,,A53060.headed_772_play_020.txt
"Chapman, George","Jonson, Ben","Marston, John",Eastward Ho,CO,1605,,,A18407.headed.txt
"Chapman, George",,,Sir Giles Goosecap,CO,1602,prose and pentameter,no,A01911.headed.txt
"Chapman, George",,,All Fools,CO,1601,,,A18400.headed.txt
"Chapman, George",,,The Blind Beggar of Alexandria,CO,1596,pentameter and prose,no,A18402.headed.txt
"Chapman, George",,,Bussy D'Ambois,TR,1604,,,A18403.headed.txt
"Chapman, George",,,The Conspiracy of Charles Duke of Byron,TR,1607,,,A18404.headed_004_play_001.txt
"Chapman, George",,,The Tragedy of Charles Duke of Byron,TR,1607,,,A18404.headed_011_play_002.txt
"Chapman, George",,,The Gentleman Usher,CO,1602,pentameter and prose,blank verse,A18413.headed.txt
"Chapman, George",,,May Day,CO,1602,,,A18415.headed.txt
"Chapman, George",,,An Humorous Day's Mirth,CO,1597,prose and pentameter,no,A18419.headed.txt
"Chapman, George",,,The Revenge of Bussy D'Ambois,TR,1610,,,A18421.headed.txt
"Chapman, George",,,Two Wise Men and All the Rest Fools,CO,1619,,,A18423.headed.txt
"Chapman, George",,,Caesar and Pompey,TR,1602,,,A18425.headed.txt
"Chapman, George",,,The Widow's Tears,CO,1604,,,A18426.headed.txt
"Chapman, George",,,Monsieur D'Olive,CO,1605,,,A69093.headed.txt
"Davenant, Sir William",,,The Cruel Brother,TR,1627,,,A19876.headed.txt
"Davenant, Sir William",,,The Just Italian,CO,1629,,,A19877.headed.txt
"Davenant, Sir William",,,"Albovine, King of the Lombards",TR,1626,,,A19881.headed.txt
"Davenant, Sir William",,,The Wits,CO,1634,,,A19883.headed.txt
"Davenant, Sir William",,,The Unfortunate Lovers,TR,1638,,,A37192.headed.txt
"Davenant, Sir William",,,Love and Honor,TC,1634,,,A69900.headed.txt
"Dekker, Thomas","Chettle, Henry","Haughton, William",Patient Grissel,CO,1600,prose and pentameter,blank verse and couplets,A20077.headed.txt
"Dekker, Thomas","Ford, John","Middleton, Thomas",The Spanish Gypsy,CO,1623,,,A50796.headed.txt
"Dekker, Thomas","Haughton, William","Day, John","Lust's Dominion, or The Lascivious Queen",TR,1600,pentameter and prose,no,A49479.headed.txt
"Dekker, Thomas","Massinger, Philip",,The Virgin Martyr,TR,1620,,,A07249.headed.txt
"Dekker, Thomas","Middleton, Thomas",,"The Roaring Girl, or Moll Cutpurse",CO,1611,,,A07524.headed.txt
"Dekker, Thomas","Middleton, Thomas",,The Bloody Banquet,TR,1608,,,A19755.headed.txt
"Dekker, Thomas","Middleton, Thomas",,1 The Honest Whore,CO,1604,,,A20062.headed.txt
